1,88621,,2017-04-21 06:29:00,2017-04-21 23:31:18,2017-04-21 23:31:18,1
2,88623,,2017-04-21 07:08:00,2017-04-21 23:31:18,2017-04-21 23:31:18,1
3,88521,,2017-04-21 09:38:00,2017-04-21 23:31:18,2017-04-21 23:31:18,1
4,88523,,2017-04-21 10:38:00,2017-04-21 23:31:18,2017-04-21 23:31:18,1
5,88525,,2017-04-21 11:38:00,2017-04-21 23:31:18,2017-04-21 23:31:18,1
6,88527,,2017-04-21 12:38:00,2017-04-21 23:31:18,2017-04-21 23:31:18,1
7,88531,,2017-04-21 16:38:00,2017-04-21 23:31:18,2017-04-21 23:31:18,1
8,88533,,2017-04-21 17:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
9,88535,,2017-04-21 18:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
10,88627,,2017-04-21 20:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
11,88801,,2017-04-21 06:57:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
12,88803,,2017-04-21 07:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
13,88805,,2017-04-21 07:57:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
14,88807,,2017-04-21 08:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
15,88809,,2017-04-21 17:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
16,88813,,2017-04-21 18:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19,1
17,88701,,2017-04-21 05:13:00,2017-04-21 23:31:20,2017-04-21 23:31:20,1
18,88703,,2017-04-21 05:43:00,2017-04-21 23:31:20,2017-04-21 23:31:20,1
19,88705,,2017-04-21 06:13:00,2017-04-21 23:31:20,2017-04-21 23:31:20,1
20,88709,,2017-04-21 06:44:00,2017-04-21 23:31:20,2017-04-21 23:31:20,1
21,88713,,2017-04-21 07:38:00,2017-04-21 23:31:20,2017-04-21 23:31:20,1
22,88715,,2017-04-21 07:43:00,2017-04-21 23:31:20,2017-04-21 23:31:20,1
