48,6,2767,2017-04-21 13:04:00,2017-04-21 13:02:00,2017-04-21 23:31:18,2017-04-21 23:31:18
49,6,2824,2017-04-21 13:11:00,2017-04-21 13:10:00,2017-04-21 23:31:18,2017-04-21 23:31:18
50,6,1092,2017-04-21 13:16:00,2017-04-21 13:15:00,2017-04-21 23:31:18,2017-04-21 23:31:18
51,6,1774,2017-04-21 13:32:00,2017-04-21 13:29:00,2017-04-21 23:31:18,2017-04-21 23:31:18
52,6,2074,2017-04-21 13:46:00,2017-04-21 13:45:00,2017-04-21 23:31:18,2017-04-21 23:31:18
53,6,2176,2017-04-21 13:53:00,2017-04-21 13:52:00,2017-04-21 23:31:18,2017-04-21 23:31:18
54,6,1943,2017-04-21 14:11:00,2017-04-21 14:11:00,2017-04-21 23:31:18,2017-04-21 23:31:18
55,7,1637,2017-04-21 16:38:00,2017-04-21 16:38:00,2017-04-21 23:31:18,2017-04-21 23:31:18
56,7,283,2017-04-21 16:51:00,2017-04-21 16:49:00,2017-04-21 23:31:18,2017-04-21 23:31:18
57,7,2767,2017-04-21 17:04:00,2017-04-21 17:02:00,2017-04-21 23:31:18,2017-04-21 23:31:18
58,7,2824,2017-04-21 17:11:00,2017-04-21 17:10:00,2017-04-21 23:31:18,2017-04-21 23:31:18
59,7,1092,2017-04-21 17:16:00,2017-04-21 17:15:00,2017-04-21 23:31:18,2017-04-21 23:31:18
60,7,1774,2017-04-21 17:32:00,2017-04-21 17:27:00,2017-04-21 23:31:18,2017-04-21 23:31:18
61,7,2074,2017-04-21 17:47:00,2017-04-21 17:46:00,2017-04-21 23:31:18,2017-04-21 23:31:18
62,7,2176,2017-04-21 17:54:00,2017-04-21 17:53:00,2017-04-21 23:31:18,2017-04-21 23:31:18
63,7,1943,2017-04-21 18:11:00,2017-04-21 18:11:00,2017-04-21 23:31:18,2017-04-21 23:31:18
64,8,1637,2017-04-21 17:38:00,2017-04-21 17:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19
65,8,283,2017-04-21 17:51:00,2017-04-21 17:49:00,2017-04-21 23:31:19,2017-04-21 23:31:19
66,8,2767,2017-04-21 18:04:00,2017-04-21 18:02:00,2017-04-21 23:31:19,2017-04-21 23:31:19
67,8,2824,2017-04-21 18:11:00,2017-04-21 18:10:00,2017-04-21 23:31:19,2017-04-21 23:31:19
68,8,1092,2017-04-21 18:16:00,2017-04-21 18:15:00,2017-04-21 23:31:19,2017-04-21 23:31:19
69,8,1774,2017-04-21 18:32:00,2017-04-21 18:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19
70,8,2074,2017-04-21 18:47:00,2017-04-21 18:46:00,2017-04-21 23:31:19,2017-04-21 23:31:19
71,8,2176,2017-04-21 18:54:00,2017-04-21 18:53:00,2017-04-21 23:31:19,2017-04-21 23:31:19
72,8,1943,2017-04-21 19:11:00,2017-04-21 19:11:00,2017-04-21 23:31:19,2017-04-21 23:31:19
73,9,1637,2017-04-21 18:38:00,2017-04-21 18:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19
74,9,283,2017-04-21 18:51:00,2017-04-21 18:49:00,2017-04-21 23:31:19,2017-04-21 23:31:19
75,9,2767,2017-04-21 19:04:00,2017-04-21 19:02:00,2017-04-21 23:31:19,2017-04-21 23:31:19
76,9,2824,2017-04-21 19:11:00,2017-04-21 19:10:00,2017-04-21 23:31:19,2017-04-21 23:31:19
77,9,1092,2017-04-21 19:16:00,2017-04-21 19:15:00,2017-04-21 23:31:19,2017-04-21 23:31:19
78,9,1774,2017-04-21 19:32:00,2017-04-21 19:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19
79,9,2074,2017-04-21 19:47:00,2017-04-21 19:46:00,2017-04-21 23:31:19,2017-04-21 23:31:19
80,9,2176,2017-04-21 19:54:00,2017-04-21 19:53:00,2017-04-21 23:31:19,2017-04-21 23:31:19
81,9,1943,2017-04-21 20:11:00,2017-04-21 20:11:00,2017-04-21 23:31:19,2017-04-21 23:31:19
82,10,1637,2017-04-21 20:38:00,2017-04-21 20:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19
83,10,283,2017-04-21 20:51:00,2017-04-21 20:49:00,2017-04-21 23:31:19,2017-04-21 23:31:19
84,10,2767,2017-04-21 21:04:00,2017-04-21 21:02:00,2017-04-21 23:31:19,2017-04-21 23:31:19
85,10,2824,2017-04-21 21:11:00,2017-04-21 21:10:00,2017-04-21 23:31:19,2017-04-21 23:31:19
86,10,1092,2017-04-21 21:16:00,2017-04-21 21:15:00,2017-04-21 23:31:19,2017-04-21 23:31:19
87,10,1774,2017-04-21 21:32:00,2017-04-21 21:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19
88,10,2074,2017-04-21 21:47:00,2017-04-21 21:46:00,2017-04-21 23:31:19,2017-04-21 23:31:19
89,10,2176,2017-04-21 21:54:00,2017-04-21 21:53:00,2017-04-21 23:31:19,2017-04-21 23:31:19
90,10,1943,2017-04-21 22:11:00,2017-04-21 22:11:00,2017-04-21 23:31:19,2017-04-21 23:31:19
91,11,1637,2017-04-21 06:57:00,2017-04-21 06:57:00,2017-04-21 23:31:19,2017-04-21 23:31:19
92,11,283,2017-04-21 07:10:00,2017-04-21 07:08:00,2017-04-21 23:31:19,2017-04-21 23:31:19
93,11,1127,2017-04-21 07:19:00,2017-04-21 07:18:00,2017-04-21 23:31:19,2017-04-21 23:31:19
94,11,2767,2017-04-21 07:25:00,2017-04-21 07:25:00,2017-04-21 23:31:19,2017-04-21 23:31:19
95,12,1637,2017-04-21 07:27:00,2017-04-21 07:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19
96,12,283,2017-04-21 07:40:00,2017-04-21 07:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19
97,12,1127,2017-04-21 07:50:00,2017-04-21 07:49:00,2017-04-21 23:31:19,2017-04-21 23:31:19
98,12,2767,2017-04-21 07:57:00,2017-04-21 07:57:00,2017-04-21 23:31:19,2017-04-21 23:31:19
99,13,1637,2017-04-21 07:57:00,2017-04-21 07:57:00,2017-04-21 23:31:19,2017-04-21 23:31:19
100,13,283,2017-04-21 08:10:00,2017-04-21 08:08:00,2017-04-21 23:31:19,2017-04-21 23:31:19
101,13,1127,2017-04-21 08:19:00,2017-04-21 08:18:00,2017-04-21 23:31:19,2017-04-21 23:31:19
102,13,2767,2017-04-21 08:25:00,2017-04-21 08:25:00,2017-04-21 23:31:19,2017-04-21 23:31:19
103,14,1637,2017-04-21 08:27:00,2017-04-21 08:27:00,2017-04-21 23:31:19,2017-04-21 23:31:19
104,14,283,2017-04-21 08:40:00,2017-04-21 08:38:00,2017-04-21 23:31:19,2017-04-21 23:31:19
105,14,1127,2017-04-21 08:49:00,2017-04-21 08:48:00,2017-04-21 23:31:19,2017-04-21 23:31:19
106,14,2767,2017-04-21 08:55:00,2017-04-21 08:55:00,2017-04-21 23:31:19,2017-04-21 23:31:19
