47,Allenc,Allenc,3.66421900,44.54166900,1,2018-01-31 13:43:41,2018-12-17 04:22:08
48,Alleyras,Alleyras,3.67354600,44.91894400,1,2018-01-31 13:43:41,2018-12-17 04:26:00
49,Alouette-France,Alouette France,-0.65963200,44.79349100,1,2018-01-31 13:43:41,2018-12-17 03:36:00
50,Altkirch,Altkirch,7.23957600,47.62709500,1,2018-01-31 13:43:41,2018-12-17 04:19:37
51,Amagne-Lucquy,Amagne Lucquy,4.47377600,49.52371500,1,2018-01-31 13:43:41,2018-12-17 04:30:29
52,Ambazac,Ambazac,1.40649200,45.95289500,1,2018-01-31 13:43:41,2018-12-17 04:22:45
53,Ambérieu-en-Bugey,Ambérieu en Bugey,5.34231400,45.95400300,1,2018-01-31 13:43:41,2018-12-17 04:21:46
54,Amboise,Amboise,0.98122000,47.42143200,1,2018-01-31 13:43:41,2018-12-17 04:30:20
55,Ambronay-Priay,Ambronay Priay,5.33826800,46.01163300,1,2018-01-31 13:43:41,2018-12-17 03:44:17
56,Amiens,Amiens,2.30812000,49.89054400,1,2018-01-31 13:43:41,2018-12-17 04:31:44
57,Amifontaine,Amifontaine,3.91070100,49.48464100,1,2018-01-31 13:43:41,2018-12-17 03:33:35
58,Amilly-Ouerray,Amilly Ouerray,1.38957100,48.43845400,1,2018-01-31 13:43:41,2018-12-17 03:40:46
59,Amplepuis,Amplepuis,4.32672100,45.97099700,1,2018-01-31 13:43:41,2018-12-17 04:29:43
60,Amsterdam-Centraal,Amsterdam Centraal,4.90124200,52.37895000,1,2018-01-31 13:43:41,2018-12-17 04:31:49
61,Ancenis,Ancenis,-1.17761600,47.36947000,1,2018-01-31 13:43:41,2018-12-17 04:23:27
62,Anchamps,Anchamps,4.67162700,49.93037700,1,2018-01-31 13:43:41,2018-12-17 03:32:18
63,Anché-Voulon,Anché Voulon,0.25019300,46.34963300,1,2018-01-31 13:43:41,2018-12-17 03:39:54
64,Ancy-sur-Moselle,Ancy sur Moselle,6.06245100,49.05740700,1,2018-01-31 13:43:41,2018-12-17 03:32:33
65,Andelot,Andelot,5.92372100,46.85937200,1,2018-01-31 13:43:41,2018-12-17 04:29:17
66,Andorre-L'Hospitalet,Andorre L'Hospitalet,1.79853100,42.58836900,1,2018-01-31 13:43:41,2018-12-17 04:29:50
67,Andrésy,Andrésy,2.04837300,48.97428300,1,2018-01-31 13:43:41,2018-12-17 03:54:11
68,Andrézieux,Andrézieux,4.25517700,45.52175600,1,2018-01-31 13:43:41,2018-12-17 04:30:28
69,Angers-Maitre-Ecole,Angers Maitre Ecole,-0.53249300,47.46701200,1,2018-01-31 13:43:41,2018-12-17 03:39:23
70,Angers-St-Laud,Angers St Laud,-0.55695000,47.46444200,1,2018-01-31 13:43:41,2018-12-17 04:30:27
71,Angerville,Angerville,2.00370100,48.31133700,1,2018-01-31 13:43:41,2018-12-17 03:36:59
72,Angoulême,Angoulême,0.16451600,45.65392700,1,2018-01-31 13:43:41,2018-12-17 03:50:14
73,Angoulins-sur-Mer,Angoulins sur Mer,-1.11544300,46.10774600,1,2018-01-31 13:43:41,2018-12-17 03:46:41
74,Anizy-Pinon,Anizy Pinon,3.44874000,49.49615600,1,2018-01-31 13:43:41,2018-12-17 03:39:56
75,Annappes,Annappes,3.14639700,50.62282800,1,2018-01-31 13:43:41,2018-12-17 03:38:38
76,Annecy,Annecy,6.12182000,45.90205200,1,2018-01-31 13:43:41,2018-12-17 04:22:07
